primary_mood,primary_mood_weight,secondary_mood,secondary_mood_weight,introspection,temper,attitude,sensitivity,News_ID
ecstasy,0.6970000000000001,enthusiasm,0.6848000000000001,0.89,0.0,0.795,0.8859999999999999,N64337
ecstasy,0.9576,enthusiasm,0.8758,0.976,0.0,0.7622,0.9490000000000001,N60415
ecstasy,0.7712,enthusiasm,0.5606,0.9145,0.8109999999999999,0.8079999999999999,0.845,N31963
enthusiasm,0.5606,ecstasy,0.3182,0.765,0.0,0.7334999999999999,0.845,N11863
ecstasy,0.5091,delight,0.35450000000000004,0.828,0.0,0.777,0.0,N10283
enthusiasm,0.6303,delight,0.43329999999999996,0.0,0.255,0.8029999999999999,0.868,N5024
disgust,0.6197,,,0.0,0.0,-0.5345,0.0,N44099
terror,0.7121,disgust,0.5485,0.0,0.0,-0.511,-0.895,N42363
grief,0.9576,loathing,0.4788,-0.976,0.0,-0.818,-0.32899999999999996,N19120
disgust,0.2288,,,0.0,0.0,-0.40549999999999997,0.0,N19411
grief,0.8273,rage,0.42119999999999996,-0.9329999999999999,-0.799,-0.193,0.0,N57488
grief,0.2394,disgust,0.9348000000000001,-0.7390000000000001,-0.5329999999999999,-0.6385000000000001,-0.43200000000000005,N29379
ecstasy,0.9545,delight,0.18789999999999998,0.975,0.0,0.722,0.0,N8355
enthusiasm,0.9181999999999999,ecstasy,0.7242000000000001,0.899,0.4625,0.7125,0.963,N27367
ecstasy,0.997,enthusiasm,0.0955,0.9890000000000001,0.0,0.087,0.6915,N38712
disgust,0.34090000000000004,anxiety,0.6333,0.0,0.0,-0.4425,-0.209,N36056
delight,0.6333,ecstasy,0.603,0.8590000000000001,0.8109999999999999,0.8690000000000001,0.0,N5815
ecstasy,0.8220000000000001,enthusiasm,0.7333,0.9312999999999999,0.797,0.715,0.902,N25503
ecstasy,0.8423999999999999,delight,0.39770000000000005,0.938,0.0,0.7913,0.0,N31660
,,,,,,,,N15572
fear,0.5273,anger,0.2848,0.0,-0.424,0.0,-0.504,N44180
bliss,0.9636,,,0.0,0.978,0.0,0.0,N458
ecstasy,0.5879,delight,0.4242,0.8540000000000001,0.0,0.8,0.0,N16535
ecstasy,0.8181999999999999,delight,0.3061,0.93,0.0,0.7609999999999999,0.7509999999999999,N52140
grief,0.9242,disgust,0.6076,-0.965,0.0,-0.5305,0.0,N38665
enthusiasm,0.6212,pleasantness,0.1886,0.0,0.2275,0.3923,0.865,N52636
loathing,0.34850000000000003,grief,0.2985,-0.7585,0.0,-0.775,-0.2115,N24254
