News_ID,primary_mood,primary_mood_weight,secondary_mood,secondary_mood_weight,introspection,temper,attitude,sensitivity,Category,SubCategory,Title,Abstract,URL,Title_Entities,Abstract_Entities
N55528,serenity,0.8545,,,0.0,0.282,0.0,0.0,lifestyle,lifestyleroyals,"The Brands Queen Elizabeth, Prince Charles, and Prince Philip Swear By","Shop the notebooks, jackets, and more that the royals can't live without.",https://assets.msn.com/labs/mind/AAGH0ET.html,"[{""Label"": ""Prince Philip, Duke of Edinburgh"", ""Type"": ""P"", ""WikidataId"": ""Q80976"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [48], ""SurfaceForms"": [""Prince Philip""]}, {""Label"": ""Charles, Prince of Wales"", ""Type"": ""P"", ""WikidataId"": ""Q43274"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [28], ""SurfaceForms"": [""Prince Charles""]}, {""Label"": ""Elizabeth II"", ""Type"": ""P"", ""WikidataId"": ""Q9682"", ""Confidence"": 0.97, ""OccurrenceOffsets"": [11], ""SurfaceForms"": [""Queen Elizabeth""]}]",[]
N19639,grief,0.7757999999999999,loathing,0.1167,-0.916,0.0,-0.6984999999999999,0.0,health,weightloss,50 Worst Habits For Belly Fat,These seemingly harmless habits are holding you back and keeping you from shedding that unwanted belly fat for good.,https://assets.msn.com/labs/mind/AAB19MK.html,"[{""Label"": ""Adipose tissue"", ""Type"": ""C"", ""WikidataId"": ""Q193583"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [20], ""SurfaceForms"": [""Belly Fat""]}]","[{""Label"": ""Adipose tissue"", ""Type"": ""C"", ""WikidataId"": ""Q193583"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [97], ""SurfaceForms"": [""belly fat""]}]"
N61837,grief,0.4393999999999999,terror,0.4272999999999999,-0.805,-0.5465,-0.76,-0.8009999999999999,news,newsworld,The Cost of Trump's Aid Freeze in the Trenches of Ukraine's War,"Lt. Ivan Molchanets peeked over a parapet of sand bags at the front line of the war in Ukraine. Next to him was an empty helmet propped up to trick snipers, already perforated with multiple holes.",https://assets.msn.com/labs/mind/AAJgNsz.html,[],"[{""Label"": ""Ukraine"", ""Type"": ""G"", ""WikidataId"": ""Q212"", ""Confidence"": 0.946, ""OccurrenceOffsets"": [87], ""SurfaceForms"": [""Ukraine""]}]"
N53526,sadness,0.6545000000000001,,,-0.546,0.0,0.0,0.0,health,voices,I Was An NBA Wife. Here's How It Affected My Mental Health.,"I felt like I was a fraud, and being an NBA wife didn't help that. In fact, it nearly destroyed me.",https://assets.msn.com/labs/mind/AACk2N6.html,[],"[{""Label"": ""National Basketball Association"", ""Type"": ""O"", ""WikidataId"": ""Q155223"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [40], ""SurfaceForms"": [""NBA""]}]"
N38324,loathing,0.4090999999999999,grief,0.3576,-0.778,0.0,-0.795,-0.469,health,medical,"How to Get Rid of Skin Tags, According to a Dermatologist","They seem harmless, but there's a very good reason you shouldn't ignore them. The post How to Get Rid of Skin Tags, According to a Dermatologist appeared first on Reader's Digest.",https://assets.msn.com/labs/mind/AAAKEkt.html,"[{""Label"": ""Skin tag"", ""Type"": ""C"", ""WikidataId"": ""Q3179593"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [18], ""SurfaceForms"": [""Skin Tags""]}]","[{""Label"": ""Skin tag"", ""Type"": ""C"", ""WikidataId"": ""Q3179593"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [105], ""SurfaceForms"": [""Skin Tags""]}, {""Label"": ""Dermatology"", ""Type"": ""C"", ""WikidataId"": ""Q171171"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [131], ""SurfaceForms"": [""Dermatologist""]}, {""Label"": ""Reader's Digest"", ""Type"": ""M"", ""WikidataId"": ""Q371820"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [163], ""SurfaceForms"": [""Reader's Digest""]}]"
N2073,pleasantness,0.8787999999999999,,,0.0,0.0,0.62,0.0,sports,football_nfl,Should NFL be able to fine players for criticizing officiating?,Several fines came down against NFL players for criticizing officiating this week. It's a very bad look for the league.,https://assets.msn.com/labs/mind/AAJ4lap.html,"[{""Label"": ""National Football League"", ""Type"": ""O"", ""WikidataId"": ""Q1215884"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [7], ""SurfaceForms"": [""NFL""]}]","[{""Label"": ""National Football League"", ""Type"": ""O"", ""WikidataId"": ""Q1215884"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [32], ""SurfaceForms"": [""NFL""]}]"
N49186,ecstasy,0.6894,delight,0.3439,0.8875,0.0,0.7735,0.0,weather,weathertopstories,"It's been Orlando's hottest October ever so far, but cooler temperatures on the way","There won't be a chill down to your bones this Halloween in Orlando, unless you count the sweat dripping from your armpits.",https://assets.msn.com/labs/mind/AAJwoxD.html,"[{""Label"": ""Orlando, Florida"", ""Type"": ""G"", ""WikidataId"": ""Q49233"", ""Confidence"": 0.962, ""OccurrenceOffsets"": [10], ""SurfaceForms"": [""Orlando""]}]","[{""Label"": ""Orlando, Florida"", ""Type"": ""G"", ""WikidataId"": ""Q49233"", ""Confidence"": 0.962, ""OccurrenceOffsets"": [60], ""SurfaceForms"": [""Orlando""]}]"
N59295,grief,0.9848,rage,0.9758,-0.985,-0.982,-0.785,-0.8118000000000001,news,newsworld,Chile: Three die in supermarket fire amid protests,"Three people have died in a supermarket fire as angry protests in Chile entered their seventh day, the mayor of capital city Santiago said on Sunday.",https://assets.msn.com/labs/mind/AAJ43pw.html,"[{""Label"": ""Chile"", ""Type"": ""G"", ""WikidataId"": ""Q298"", ""Confidence"": 0.988, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Chile""]}]","[{""Label"": ""Santiago"", ""Type"": ""G"", ""WikidataId"": ""Q2887"", ""Confidence"": 0.995, ""OccurrenceOffsets"": [125], ""SurfaceForms"": [""Santiago""]}, {""Label"": ""Chile"", ""Type"": ""G"", ""WikidataId"": ""Q298"", ""Confidence"": 0.988, ""OccurrenceOffsets"": [66], ""SurfaceForms"": [""Chile""]}]"
N24510,ecstasy,0.6545000000000001,delight,0.3682,0.8759999999999999,0.0,0.7815000000000001,0.0,entertainment,gaming,Best PS5 games: top PlayStation 5 titles to look forward to,Every confirmed or expected PS5 game we can't wait to play,https://assets.msn.com/labs/mind/AACHUn8.html,"[{""Label"": ""PlayStation"", ""Type"": ""J"", ""WikidataId"": ""Q1323662"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [20], ""SurfaceForms"": [""PlayStation 5""]}]",[]
N39237,enthusiasm,0.3394,,,0.998,0.176,0.0,0.772,news,newsscienceandtechnology,"How to report weather-related closings, delays","When there are active closings, view them here. WXII 12 News receives a number of phone calls and e-mails from viewers with questions. Sign up for our Newsletters To report a closure, please visit wxii.reportclosing.com The weather closing system is a viewer-operated system. Employees of WXII-TV and WXII12.com DO NOT enter the information in the system. That comes straight from the school/business/institution. Before you can enter information,...",https://assets.msn.com/labs/mind/AAlErhA.html,[],"[{""Label"": ""WXII-TV"", ""Type"": ""M"", ""WikidataId"": ""Q7957644"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [48, 289, 301], ""SurfaceForms"": [""WXII"", ""WXII-TV"", ""WXII12.com""]}, {""Label"": ""KPNX"", ""Type"": ""M"", ""WikidataId"": ""Q3191485"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [53], ""SurfaceForms"": [""12 News""]}]"
